번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"50","만일 내가 인생을 다시 산다면","김혜남 지음","메이븐","2022","9791190538510","","0","","199.1","1","1","2023-03-10",
"51","밥 챙겨 먹어요, 행복하세요","마포농수산쎈타 지음;한정수 사진","세미콜론","2022","9791192107769","","1","","594.5","1","0","2023-03-10",
"52","모든 것은 기본에서 시작한다","손웅정 지음","수오서재","2021","9791190382502","","0","","695.404","1","1","2023-03-10",
"53","너무 잘하려고 애쓰지 마라","나태주 지음","열림원","2021","9791170400608","","0","","811.62","1","0","2023-03-10",
"54","군주론","니콜로 마키아벨리 지음;김운찬 옮김","현대지성","2021","9791166817878","","0","","340.265","1","1","2023-03-10",
"55","똑똑한 엄마는 시간 관리가 다르다","벨리따 지음","미다스북스","2023","9791169101363","","0","","325.2112","1","2","2023-03-10",
"56","그대의 마음에 닿았습니다","9인의 정신과 의사 지음;박정은 삽화","Floorworx(플로어웍스)","2023","9791197853395","","0","","513.8904","1","2","2023-03-10",
"57","기분대로 아이를 키우지 않겠습니다","곽윤정 지음","콘텐츠그룹 포레스트","2022","9791192625096","","0","","598.1","1","1","2023-03-10",
"58","기억을 넘어 너에게 갈게","양은애 지음","토마토출판사","2023","9791192603162","","4","","813.7","1","1","2023-03-10",
"59","나를 살게 하는 것들","김창옥 지음","수오서재","2022","9791190382670","","0","","199.1","1","2","2023-03-10",
"60","(MZ세대를 위한) 사랑, 결혼, 그리고 부모 이야기","김선주 지음","어가","2023","9791191109900","","0","","332.2","1","1","2023-03-10",
"61","공부 독립","주단,권태형 [공]지음","북북북","2022","9791197748516","","1","","373.4","1","1","2023-03-10",
"62","35년","박시백 글·그림","비아북","2020","9791189426965","9791186712634","0","7","911.06","1","1","2023-03-10",
"63","거의 모든 일상 표현의 영어","케빈 강,해나 변 [공]지음","사람in","2022","9788960499751","","1","","747.5","1","0","2023-03-10",
"64","(50센티 더 가까워지는) 선물보다 좋은 말","노구치 사토시 지음;최화연 옮김","밀리언서재","2022","9791191777239","","0","","802.56","1","1","2023-03-10",
"65","35년","박시백 글·그림","비아북","2020","9791189426422","9791186712634","0","5","911.06","1","0","2023-03-10",
"66","구부러진 계단","딘 쿤츠 지음;유소영 옮김","더난콘텐츠그룹","2021","9791158791629","","0","","843","1","1","2023-03-10",
"67","35년","박시백 글·그림","비아북","2020","9791189426958","9791186712634","0","6","911.06","1","1","2023-03-10",
"68","하늘 높이 핫케이크","종종 글·그림","그린북","2023","9788955884265","","7","","813.8","1","2","2023-03-10",
"69","100세 철학자의 행복론","김형석 지음","열림원","2022","9791170401490","","0","","818","1","1","2023-03-10",
"70","태양을 쫓던 사슴","조안나 매키너니 지음;풍 응우엔 쿠앙,후인티 킴 리엔 [공]그림;박지숙 옮김","BARN","2022","9791191738193","","7","","843","1","0","2023-03-10",
"71","하루살이가 만난 내일","나현정 지음","글로연","2023","9788992704717","","7","","813.8","1","0","2023-03-10",
"72","호랭떡집","서현 글·그림","사계절","2023","9791169811163","","7","","813.8","1","2","2023-03-10",
"73","판다 여행사","노하나 하루카 글·그림;송지현 옮김","김영사","2022","9788934940746","","7","","833.8","1","2","2023-03-10",
"74","35년","박시백 글·그림","비아북","2019","9791189426415","9791186712634","0","4","911.06","1","1","2023-03-10",
"75","할머니와 봄의 정원","강혜영 글·그림","팜파스","2021","9791170264026","","7","","813.8","1","0","2023-03-10",
"76","파리왕국 모기대왕","이은하 지음;고윤아 그림","소라피리","2023","9791192682013","","7","11","813.8","1","1","2023-03-10",
"77","지구가 보내온 편지","몰리 블룸;마크 산체스;샌든 토튼 [공]글;마이크 오르단 그림;이유림 옮김","에듀앤테크","2022","9791167290366","","7","","843","1","0","2023-03-10",
"78","잠이 솔솔 핫초코","양선 지음","소원나무","2022","9791170441595","","7","","813.8","1","0","2023-03-10",
"79","큰 딸기가 말했어","우은선 글;낙서쟁이 김선생 그림","걸음동무","2023","9791190898911","","7","","813.8","1","1","2023-03-10",
"80","조금만, 조금만 더","소연정 글·그림","모든요일그림책","2023","9788925577180","","7","","813.8","1","0","2023-03-10",
"81","인어공주의 노래","이은하 글;박세현 그림","소라피리","2023","9791192682068","","7","16","813.8","1","0","2023-03-10",
"82","커다란 비밀 친구","경혜원 지음","창비","2022","9788936455934","","7","","813.8","1","0","2023-03-10",
"83","일부러 그런 거 아니야","경아 글·그림","수피아어린이","2023","9791197776939","","7","","813.8","1","1","2023-03-10",
